scenario_id,has_lesion,lesion_size_mm,lesion_x,lesion_y,lesion_z,epsilon_variation,sigma_variation,coupling_thickness,noise_level,split,group,size_bucket,region,shape,epsilon_anomaly_variation,sigma_anomaly_variation,head_scale,head_rotation_deg,analysis_profile
92,0,0.0,0.0,0.0,0.0,1.5435,1.1543,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,10.0000,varied
93,0,0.0,0.0,0.0,0.0,0.4254,0.63,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,15.0000,varied
94,0,0.0,0.0,0.0,0.0,0.8775,0.4289,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-10.0000,varied
95,0,0.0,0.0,0.0,0.0,-1.0848,-1.2372,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
96,0,0.0,0.0,0.0,0.0,-1.1413,1.638,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9000,10.0000,varied
97,0,0.0,0.0,0.0,0.0,1.3478,1.8809,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
98,0,0.0,0.0,0.0,0.0,0.9291,0.2688,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0500,15.0000,varied
99,0,0.0,0.0,0.0,0.0,0.6891,-0.0477,0.02,medium,test,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
100,0,0.0,0.0,0.0,0.0,0.1736,-0.8865,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0000,10.0000,varied
101,0,0.0,0.0,0.0,0.0,0.328,1.4134,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
102,0,0.0,0.0,0.0,0.0,1.9536,3.5197,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,-15.0000,varied
103,0,0.0,0.0,0.0,0.0,-1.3578,-6.5157,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,0.9500,15.0000,varied
104,0,0.0,0.0,0.0,0.0,-7.0416,-5.434,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,15.0000,varied
105,0,0.0,0.0,0.0,0.0,-8.3252,-3.3299,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,10.0000,varied
106,0,0.0,0.0,0.0,0.0,-9.8287,9.0861,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,0.0000,varied
107,0,0.0,0.0,0.0,0.0,-6.7459,5.0956,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,10.0000,varied
108,0,0.0,0.0,0.0,0.0,-5.3278,-9.3122,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,15.0000,varied
109,0,0.0,0.0,0.0,0.0,2.2292,-0.1715,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,10.0000,varied
110,0,0.0,0.0,0.0,0.0,-7.6788,3.1691,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,-5.0000,varied
111,0,0.0,0.0,0.0,0.0,2.2434,-6.6186,0.02,medium,val,N2_property_variation,none,none,none,0.0,0.0,0.9000,0.0000,varied
112,0,0.0,0.0,0.0,0.0,-2.4989,2.8061,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,-5.0000,varied
113,0,0.0,0.0,0.0,0.0,7.0397,-8.5219,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,-10.0000,varied
114,0,0.0,0.0,0.0,0.0,-6.9674,7.3749,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,varied
115,0,0.0,0.0,0.0,0.0,-6.0782,4.0555,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,15.0000,varied
116,0,0.0,0.0,0.0,0.0,-2.4966,-3.0259,0.02,medium,test,N2_property_variation,none,none,none,0.0,0.0,0.9000,0.0000,varied
117,0,0.0,0.0,0.0,0.0,-0.9718,-4.0133,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
118,0,0.0,0.0,0.0,0.0,8.853,1.5828,0.02,high,test,N2_property_variation,none,none,none,0.0,0.0,0.9500,5.0000,varied
119,0,0.0,0.0,0.0,0.0,6.9569,-0.0434,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,5.0000,varied
120,0,0.0,0.0,0.0,0.0,3.5591,0.2592,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
121,0,0.0,0.0,0.0,0.0,-7.7734,-5.7846,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,0.0000,varied
122,0,0.0,0.0,0.0,0.0,-6.8602,4.0442,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,-15.0000,varied
123,0,0.0,0.0,0.0,0.0,3.9294,-4.2772,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,-15.0000,varied
124,0,0.0,0.0,0.0,0.0,-7.8787,4.9094,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,5.0000,varied
125,0,0.0,0.0,0.0,0.0,0.1345,-8.8494,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,0.0000,varied
126,0,0.0,0.0,0.0,0.0,-7.8966,-7.4371,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,-5.0000,varied
127,0,0.0,0.0,0.0,0.0,0.4767,-9.2007,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,0.9500,10.0000,varied
128,0,0.0,0.0,0.0,0.0,7.3327,-4.7371,0.02,high,test,N2_property_variation,none,none,none,0.0,0.0,1.1000,-15.0000,varied
129,0,0.0,0.0,0.0,0.0,1.4106,-4.6348,0.02,high,test,N2_property_variation,none,none,none,0.0,0.0,1.1000,-5.0000,varied
130,0,0.0,0.0,0.0,0.0,-7.1674,-3.7691,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,0.9000,15.0000,varied
131,0,0.0,0.0,0.0,0.0,3.0031,8.9622,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,5.0000,varied
132,0,0.0,0.0,0.0,0.0,5.6181,-2.3771,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,-5.0000,varied
133,0,0.0,0.0,0.0,0.0,-1.6098,-7.4068,0.02,medium,test,N2_property_variation,none,none,none,0.0,0.0,1.0000,-10.0000,varied
134,0,0.0,0.0,0.0,0.0,6.2281,-1.0447,0.02,medium,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,15.0000,varied
135,0,0.0,0.0,0.0,0.0,3.2266,-3.4461,0.02,medium,val,N2_property_variation,none,none,none,0.0,0.0,0.9000,10.0000,varied
136,0,0.0,0.0,0.0,0.0,-6.9357,-7.0366,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,-10.0000,varied
137,0,0.0,0.0,0.0,0.0,8.877,-8.2291,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,10.0000,varied
138,0,0.0,0.0,0.0,0.0,4.9868,4.1046,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,5.0000,varied
139,0,0.0,0.0,0.0,0.0,-0.1808,5.0649,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,-10.0000,varied
140,0,0.0,0.0,0.0,0.0,4.9581,-7.8254,0.02,medium,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,-10.0000,varied
141,0,0.0,0.0,0.0,0.0,8.3477,0.4479,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,0.9500,-15.0000,varied
142,0,0.0,0.0,0.0,0.0,8.0412,1.1562,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,10.0000,varied
143,0,0.0,0.0,0.0,0.0,4.7551,-3.2009,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,-10.0000,varied
144,0,0.0,0.0,0.0,0.0,-8.1331,7.8189,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,10.0000,varied
145,0,0.0,0.0,0.0,0.0,-4.3392,-9.9594,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,1.1000,5.0000,varied
146,0,0.0,0.0,0.0,0.0,-0.0378,2.3781,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,-10.0000,varied
147,0,0.0,0.0,0.0,0.0,-2.6661,2.6596,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,10.0000,varied
148,0,0.0,0.0,0.0,0.0,1.5081,-7.1938,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,10.0000,varied
149,0,0.0,0.0,0.0,0.0,7.6262,9.5941,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,-10.0000,varied
150,0,0.0,0.0,0.0,0.0,8.1717,-4.8406,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
151,0,0.0,0.0,0.0,0.0,5.3959,-6.4636,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,1.0500,5.0000,varied
152,0,0.0,0.0,0.0,0.0,8.9746,4.8729,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,0.9000,-5.0000,varied
153,0,0.0,0.0,0.0,0.0,-7.046,0.5837,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,-10.0000,varied
154,0,0.0,0.0,0.0,0.0,0.1545,2.611,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,15.0000,varied
155,0,0.0,0.0,0.0,0.0,3.0465,8.4225,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
156,0,0.0,0.0,0.0,0.0,-3.7276,1.18,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,-15.0000,varied
157,0,0.0,0.0,0.0,0.0,5.948,1.7044,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,-15.0000,varied
158,0,0.0,0.0,0.0,0.0,-8.0746,-6.8999,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,-10.0000,varied
159,0,0.0,0.0,0.0,0.0,5.7769,-6.0722,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,10.0000,varied
160,0,0.0,0.0,0.0,0.0,6.6679,-3.5313,0.02,medium,test,N2_property_variation,none,none,none,0.0,0.0,0.9500,-5.0000,varied
161,0,0.0,0.0,0.0,0.0,8.8135,-2.9758,0.02,medium,val,N2_property_variation,none,none,none,0.0,0.0,1.0500,-15.0000,varied
162,0,0.0,0.0,0.0,0.0,-3.58,5.1151,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,15.0000,varied
163,0,0.0,0.0,0.0,0.0,3.7793,-0.5182,0.02,low,test,N2_property_variation,none,none,none,0.0,0.0,0.9500,-10.0000,varied
164,0,0.0,0.0,0.0,0.0,-2.8603,-3.866,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,1.1000,-5.0000,varied
165,0,0.0,0.0,0.0,0.0,6.5245,2.318,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,-5.0000,varied
166,0,0.0,0.0,0.0,0.0,-4.0452,6.5455,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
167,0,0.0,0.0,0.0,0.0,7.9676,-6.6977,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,0.9500,-10.0000,varied
168,0,0.0,0.0,0.0,0.0,1.956,0.4169,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,-5.0000,varied
169,0,0.0,0.0,0.0,0.0,3.3918,8.1515,0.02,medium,test,N2_property_variation,none,none,none,0.0,0.0,1.1000,10.0000,varied
170,0,0.0,0.0,0.0,0.0,-8.9471,-5.4628,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,0.0000,varied
171,0,0.0,0.0,0.0,0.0,3.1549,7.6895,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,1.0000,-10.0000,varied
172,0,0.0,0.0,0.0,0.0,-7.012,-7.5078,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,10.0000,varied
173,0,0.0,0.0,0.0,0.0,-8.1349,4.1843,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,1.0500,15.0000,varied
174,0,0.0,0.0,0.0,0.0,-0.7992,7.9263,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,10.0000,varied
175,0,0.0,0.0,0.0,0.0,6.0418,-4.6797,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,-10.0000,varied
176,0,0.0,0.0,0.0,0.0,-2.8512,-5.7479,0.02,medium,test,N2_property_variation,none,none,none,0.0,0.0,1.0500,-15.0000,varied
177,0,0.0,0.0,0.0,0.0,0.0566,5.7161,0.02,high,train,N2_property_variation,none,none,none,0.0,0.0,0.9000,5.0000,varied
178,0,0.0,0.0,0.0,0.0,0.4919,-9.2328,0.02,high,test,N2_property_variation,none,none,none,0.0,0.0,0.9000,-15.0000,varied
179,0,0.0,0.0,0.0,0.0,9.0091,-4.1895,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
180,0,0.0,0.0,0.0,0.0,1.2545,-8.0947,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,1.1000,-10.0000,varied
181,0,0.0,0.0,0.0,0.0,0.4805,-7.7182,0.02,low,val,N2_property_variation,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
182,0,0.0,0.0,0.0,0.0,7.5313,-8.7427,0.02,medium,train,N2_property_variation,none,none,none,0.0,0.0,1.1000,-15.0000,varied
183,0,0.0,0.0,0.0,0.0,6.4671,7.8524,0.02,high,val,N2_property_variation,none,none,none,0.0,0.0,1.1000,-5.0000,varied
184,0,0.0,0.0,0.0,0.0,-8.6309,0.1056,0.02,low,train,N2_property_variation,none,none,none,0.0,0.0,0.9500,-10.0000,varied
